cgpa,iq,package
5.13,88,11.05
5.9,113,12.59
8.36,93,15.33
8.27,97,16.3
5.45,110,11.81
5.88,109,12.27
8.41,98,16.57
8.8,115,17.08
5.79,110,11.98
8.09,94,14.95
4.6,86,9.36
6.1,110,12.35
8.16,97,14.88
5.0,88,8.49
5.71,108,10.53
8.31,95,14.16
5.5,111,11.14
7.87,91,14.31
6.05,111,11.9
5.84,113,11.25
7.47,98,15.33
4.86,86,9.91
7.78,92,14.0
4.78,87,8.66
4.96,88,9.81
7.93,98,14.53
4.86,87,9.03
9.18,119,17.34
8.04,94,13.75
5.43,106,11.52
8.86,117,15.88
6.01,112,14.66
8.83,118,16.48
5.32,106,10.63
7.77,96,14.95
8.0,96,13.18
8.56,118,16.38
5.91,108,10.53
5.44,84,9.4
5.57,113,12.53
5.34,85,11.4
8.43,96,15.09
8.02,93,14.16
5.31,86,10.37
8.96,116,15.07
8.78,116,15.62
8.14,94,14.01
6.4,108,14.14
8.45,119,16.43
5.67,109,10.49
5.14,83,10.64
4.95,86,9.85
8.79,116,15.67
8.12,96,15.16
8.81,115,17.35
6.05,108,13.59
5.85,111,11.73
8.88,115,16.1
5.87,109,12.83
9.07,117,17.71
6.02,104,11.94
8.34,96,14.62
8.65,95,14.02
8.92,118,15.41
5.21,87,11.41
8.75,113,17.51
8.53,93,14.81
4.91,85,11.15
5.77,111,12.84
8.29,95,14.05
6.06,109,13.08
8.71,116,17.79
7.93,94,14.18
5.28,83,12.05
5.55,109,9.49
8.86,118,17.35
5.81,112,12.66
9.3,117,16.71
5.15,88,10.67
8.72,92,13.08
8.14,91,14.1
9.01,121,17.22
5.47,111,13.59
4.9,85,9.61
8.97,116,15.76
4.89,88,9.77
9.0,117,17.57
5.74,109,12.67
8.76,117,15.83
5.8,108,12.87
8.78,117,16.48
9.23,114,17.74
8.2,92,13.74
5.05,86,10.03
8.67,95,14.76
8.18,94,13.05
9.03,118,17.03
8.61,95,15.34
4.98,91,10.53
9.13,118,16.62
5.88,110,11.14
5.01,86,9.89
4.95,88,10.0
8.91,119,15.84
4.96,89,10.24
4.85,86,10.52
7.99,92,16.07
4.76,90,10.39
8.98,118,16.93
9.03,118,16.66
8.08,94,12.48
8.86,117,16.46
5.91,109,12.6
5.67,111,14.82
8.26,91,14.27
8.89,118,16.87
8.25,95,14.62
5.74,108,11.12
8.97,117,17.76
4.98,87,11.08
4.78,87,10.88
5.69,109,11.37
8.4,93,16.13
8.72,119,15.01
7.84,97,14.84
5.2,85,12.68
8.08,98,13.61
6.05,109,12.14
5.05,87,10.51
8.25,96,14.2
8.3,93,13.06
6.14,111,12.99
5.01,83,9.1
4.77,86,10.5
5.74,112,11.57
8.93,118,18.17
5.94,109,11.79
4.68,87,9.64
7.9,100,15.29
7.97,96,13.13
8.21,94,14.78
4.81,85,11.33
5.86,111,10.97
5.03,87,10.57
4.98,87,10.59
8.58,118,16.98
5.32,88,9.55
8.94,117,15.26
6.38,107,13.53
4.86,88,10.53
8.6,117,16.42
4.89,85,10.46
8.77,117,15.69
8.81,116,16.6
4.88,86,10.45
8.23,95,13.91
6.61,111,15.35
8.54,118,16.62
6.04,110,11.56
8.35,93,15.33
5.01,86,9.34
8.97,119,17.5
6.24,108,14.05
8.33,92,13.78
8.91,117,17.51
4.67,86,10.32
6.1,109,13.59
5.15,85,12.33
4.97,88,10.12
8.68,119,15.61
9.06,120,15.98
5.8,110,11.64
8.9,117,16.45
4.87,88,10.59
5.2,89,10.97
8.46,98,15.88
8.94,115,16.49
5.87,108,13.9
4.99,88,10.12
8.91,115,19.16
8.91,117,17.17
5.97,108,11.71
6.17,110,11.83
6.01,107,13.04
7.89,96,14.04
4.79,88,10.86
7.91,93,14.62
8.23,91,14.35
8.95,116,15.69
6.33,111,11.63
8.4,93,14.28
8.44,94,15.68
4.76,89,10.38
4.78,85,8.74
8.79,96,15.52
4.68,89,10.45
8.57,118,15.3
5.85,112,12.77
6.23,108,12.93
8.82,117,15.29
